Oorder_id,customer_name,email,product,category,order_date,payment_method,total_amount,status,estimated_delivery,refund_status,shipping_city
ORD1026,Rahul Sharma,rahul26@gmail.com,Laptop Backpack,Accessories,2026-01-22,Debit Card,3001,Delivered,2026-01-26,Completed,Jaipur
ORD1027,Amit Singh,amit27@gmail.com,Running Shoes,Fashion,2026-01-14,UPI,9923,Cancelled,N/A,None,Pune
ORD1028,Arjun Mehta,arjun28@gmail.com,Kurti Set,Fashion,2026-01-08,Credit Card,9698,Refund Initiated,N/A,Not Applicable,Bangalore
ORD1029,Priya Verma,priya29@gmail.com,Bluetooth Speaker,Electronics,2026-01-15,COD,3097,Delivered,2026-01-21,Not Requested,Kolkata
ORD1030,Priya Verma,priya30@gmail.com,Kurti Set,Fashion,2026-01-15,Credit Card,14164,Cancelled,N/A,Not Requested,Chandigarh
ORD1031,Neha Gupta,neha31@gmail.com,Kurti Set,Fashion,2026-01-08,UPI,15887,Cancelled,N/A,Not Applicable,Jaipur
ORD1032,Rahul Sharma,rahul32@gmail.com,Laptop Backpack,Accessories,2026-02-06,COD,15940,Shipped,2026-02-14,Not Applicable,Pune
ORD1033,Rahul Sharma,rahul33@gmail.com,Smart Watch,Electronics,2026-02-12,UPI,14307,Cancelled,N/A,None,Jaipur
ORD1034,Neha Gupta,neha34@gmail.com,Smart Watch,Electronics,2026-02-14,Credit Card,17011,Processing,2026-02-18,Completed,Kolkata
ORD1035,Sneha Kapoor,sneha35@gmail.com,Running Shoes,Fashion,2026-02-02,Net Banking,18091,Refund Initiated,N/A,Not Applicable,Mumbai
ORD1036,Neha Gupta,neha36@gmail.com,Wireless Earbuds,Electronics,2026-01-04,COD,12917,Refund Initiated,N/A,Pending Refund,Jaipur
ORD1037,Amit Singh,amit37@gmail.com,Mobile Phone,Electronics,2026-02-03,UPI,7942,Cancelled,N/A,None,Hyderabad
ORD1038,Karan Patel,karan38@gmail.com,Running Shoes,Fashion,2026-01-08,Debit Card,14840,Refund Initiated,N/A,None,Delhi
ORD1039,Rahul Sharma,rahul39@gmail.com,Wireless Earbuds,Electronics,2026-02-13,COD,1293,Refund Initiated,N/A,Pending Refund,Jaipur
ORD1040,Arjun Mehta,arjun40@gmail.com,Kurti Set,Fashion,2026-01-31,Debit Card,9402,Shipped,2026-02-07,Pending Refund,Kolkata
ORD1041,Rahul Sharma,rahul41@gmail.com,Gaming Mouse,Electronics,2026-01-17,COD,11976,Processing,2026-01-22,Pending Refund,Mumbai
ORD1042,Karan Patel,karan42@gmail.com,Wireless Earbuds,Electronics,2026-02-09,Net Banking,18923,Delivered,2026-02-15,Pending Refund,Jaipur
ORD1043,Rahul Sharma,rahul43@gmail.com,Laptop Backpack,Accessories,2026-01-07,UPI,8622,Processing,2026-01-12,Not Applicable,Hyderabad
ORD1044,Priya Verma,priya44@gmail.com,Smart Watch,Electronics,2026-02-01,COD,5577,Cancelled,N/A,Pending Refund,Kolkata
ORD1045,Neha Gupta,neha45@gmail.com,Wireless Earbuds,Electronics,2026-02-01,COD,12999,Delivered,2026-02-08,Completed,Chandigarh
ORD1046,Amit Singh,amit46@gmail.com,Running Shoes,Fashion,2026-01-20,Debit Card,5312,Processing,2026-01-22,Not Applicable,Chandigarh
ORD1047,Simran Kaur,simran47@gmail.com,Wireless Earbuds,Electronics,2026-01-29,COD,13156,Refund Initiated,N/A,Not Requested,Jaipur
ORD1048,Arjun Mehta,arjun48@gmail.com,Bluetooth Speaker,Electronics,2026-01-10,Debit Card,12396,Shipped,2026-01-17,Not Requested,Bangalore
ORD1049,Karan Patel,karan49@gmail.com,Gaming Mouse,Electronics,2026-01-10,Credit Card,18925,Delivered,2026-01-16,Completed,Hyderabad
ORD1050,Neha Gupta,neha50@gmail.com,Running Shoes,Fashion,2026-01-27,COD,3574,Processing,2026-02-03,Completed,Jaipur
ORD1051,Amit Singh,amit51@gmail.com,Laptop Backpack,Accessories,2026-01-21,Net Banking,1128,Delivered,2026-01-31,None,Jaipur
ORD1052,Arjun Mehta,arjun52@gmail.com,Kurti Set,Fashion,2026-01-13,Credit Card,14446,Delivered,2026-01-15,Pending Refund,Hyderabad
ORD1053,Priya Verma,priya53@gmail.com,Mobile Phone,Electronics,2026-01-10,UPI,4230,Delivered,2026-01-12,Pending Refund,Jaipur
ORD1054,Simran Kaur,simran54@gmail.com,Mobile Phone,Electronics,2026-01-18,COD,10264,Delivered,2026-01-22,Completed,Chandigarh
ORD1055,Simran Kaur,simran55@gmail.com,Laptop Backpack,Accessories,2026-01-03,UPI,19149,Refund Initiated,N/A,Pending Refund,Delhi
ORD1056,Simran Kaur,simran56@gmail.com,Laptop Backpack,Accessories,2026-02-07,Credit Card,4046,Processing,2026-02-13,Pending Refund,Jaipur
ORD1057,Sneha Kapoor,sneha57@gmail.com,Mobile Phone,Electronics,2026-01-05,Debit Card,8779,Processing,2026-01-15,None,Jaipur
ORD1058,Sneha Kapoor,sneha58@gmail.com,Running Shoes,Fashion,2026-02-15,Debit Card,14720,Cancelled,N/A,Pending Refund,Kolkata
ORD1059,Priya Verma,priya59@gmail.com,Bluetooth Speaker,Electronics,2026-01-25,Debit Card,5895,Processing,2026-02-01,None,Chandigarh
ORD1060,Amit Singh,amit60@gmail.com,Running Shoes,Fashion,2026-01-04,UPI,716,Refund Initiated,N/A,Completed,Pune
ORD1061,Amit Singh,amit61@gmail.com,Laptop Backpack,Accessories,2026-01-08,UPI,2668,Processing,2026-01-14,Not Applicable,Chandigarh
ORD1062,Priya Verma,priya62@gmail.com,Gaming Mouse,Electronics,2026-01-27,COD,4438,Refund Initiated,N/A,Completed,Kolkata
ORD1063,Neha Gupta,neha63@gmail.com,Kurti Set,Fashion,2026-01-22,Net Banking,7954,Cancelled,N/A,Not Requested,Jaipur
ORD1064,Simran Kaur,simran64@gmail.com,Laptop Backpack,Accessories,2026-01-16,COD,17872,Shipped,2026-01-20,Not Requested,Delhi
ORD1065,Arjun Mehta,arjun65@gmail.com,Bluetooth Speaker,Electronics,2026-01-16,Net Banking,19307,Shipped,2026-01-23,Not Applicable,Kolkata
ORD1066,Priya Verma,priya66@gmail.com,Mobile Phone,Electronics,2026-02-07,Debit Card,9035,Delivered,2026-02-12,Not Requested,Chandigarh
ORD1067,Rahul Sharma,rahul67@gmail.com,Laptop Backpack,Accessories,2026-01-26,Credit Card,5769,Processing,2026-01-30,Pending Refund,Bangalore
ORD1068,Priya Verma,priya68@gmail.com,Bluetooth Speaker,Electronics,2026-01-26,COD,2694,Cancelled,N/A,Not Applicable,Chandigarh
ORD1069,Arjun Mehta,arjun69@gmail.com,Wireless Earbuds,Electronics,2026-01-11,COD,14113,Processing,2026-01-18,None,Jaipur
ORD1070,Priya Verma,priya70@gmail.com,Bluetooth Speaker,Electronics,2026-02-06,Net Banking,12551,Delivered,2026-02-10,Pending Refund,Jaipur
ORD1071,Simran Kaur,simran71@gmail.com,Kurti Set,Fashion,2026-02-08,UPI,13613,Shipped,2026-02-14,Pending Refund,Chandigarh
ORD1072,Sneha Kapoor,sneha72@gmail.com,Laptop Backpack,Accessories,2026-01-12,Debit Card,10713,Shipped,2026-01-16,Not Requested,Pune
ORD1073,Arjun Mehta,arjun73@gmail.com,Running Shoes,Fashion,2026-01-08,COD,5658,Refund Initiated,N/A,Not Requested,Mumbai
ORD1074,Priya Verma,priya74@gmail.com,Mobile Phone,Electronics,2026-01-07,Net Banking,5763,Delivered,2026-01-11,None,Delhi
ORD1075,Neha Gupta,neha75@gmail.com,Gaming Mouse,Electronics,2026-01-04,UPI,5508,Refund Initiated,N/A,Pending Refund,Hyderabad
ORD1076,Karan Patel,karan76@gmail.com,Kurti Set,Fashion,2026-01-10,Debit Card,10787,Delivered,2026-01-18,Completed,Kolkata
ORD1077,Amit Singh,amit77@gmail.com,Bluetooth Speaker,Electronics,2026-01-22,Debit Card,13264,Processing,2026-01-31,Not Applicable,Pune
ORD1078,Arjun Mehta,arjun78@gmail.com,Running Shoes,Fashion,2026-01-31,COD,4267,Processing,2026-02-08,Not Applicable,Chandigarh
ORD1079,Karan Patel,karan79@gmail.com,Smart Watch,Electronics,2026-02-09,UPI,3477,Shipped,2026-02-19,Not Requested,Pune
ORD1080,Karan Patel,karan80@gmail.com,Gaming Mouse,Electronics,2026-01-09,Net Banking,5540,Delivered,2026-01-12,Completed,Pune
ORD1081,Neha Gupta,neha81@gmail.com,Wireless Earbuds,Electronics,2026-01-18,Net Banking,13365,Refund Initiated,N/A,Not Requested,Pune
ORD1082,Rahul Sharma,rahul82@gmail.com,Running Shoes,Fashion,2026-01-21,UPI,7486,Delivered,2026-01-28,Completed,Chandigarh
ORD1083,Arjun Mehta,arjun83@gmail.com,Mobile Phone,Electronics,2026-01-21,COD,8346,Refund Initiated,N/A,Pending Refund,Bangalore
ORD1084,Priya Verma,priya84@gmail.com,Gaming Mouse,Electronics,2026-01-23,UPI,10634,Delivered,2026-01-29,None,Delhi
ORD1085,Rahul Sharma,rahul85@gmail.com,Bluetooth Speaker,Electronics,2026-01-19,Credit Card,15831,Refund Initiated,N/A,None,Hyderabad
ORD1086,Priya Verma,priya86@gmail.com,Smart Watch,Electronics,2026-01-03,COD,19450,Delivered,2026-01-05,Completed,Kolkata
ORD1087,Arjun Mehta,arjun87@gmail.com,Running Shoes,Fashion,2026-01-14,UPI,2222,Shipped,2026-01-23,Not Requested,Bangalore
ORD1088,Rahul Sharma,rahul88@gmail.com,Smart Watch,Electronics,2026-02-06,COD,5357,Refund Initiated,N/A,Not Applicable,Delhi
ORD1089,Sneha Kapoor,sneha89@gmail.com,Laptop Backpack,Accessories,2026-02-03,Credit Card,18490,Shipped,2026-02-10,Not Applicable,Kolkata
ORD1090,Priya Verma,priya90@gmail.com,Mobile Phone,Electronics,2026-01-12,Credit Card,15372,Refund Initiated,N/A,Not Requested,Bangalore
ORD1091,Priya Verma,priya91@gmail.com,Laptop Backpack,Accessories,2026-01-07,UPI,2779,Delivered,2026-01-13,Pending Refund,Pune
ORD1092,Rahul Sharma,rahul92@gmail.com,Laptop Backpack,Accessories,2026-01-22,Debit Card,16393,Refund Initiated,N/A,Not Requested,Pune
ORD1093,Arjun Mehta,arjun93@gmail.com,Kurti Set,Fashion,2026-01-29,Net Banking,7922,Delivered,2026-02-05,Pending Refund,Mumbai
ORD1094,Amit Singh,amit94@gmail.com,Laptop Backpack,Accessories,2026-02-08,Debit Card,17464,Processing,2026-02-14,Pending Refund,Kolkata
ORD1095,Simran Kaur,simran95@gmail.com,Bluetooth Speaker,Electronics,2026-01-08,UPI,12235,Delivered,2026-01-15,Completed,Kolkata
ORD1096,Sneha Kapoor,sneha96@gmail.com,Laptop Backpack,Accessories,2026-01-13,Credit Card,5252,Delivered,2026-01-16,Not Applicable,Delhi
ORD1097,Rahul Sharma,rahul97@gmail.com,Kurti Set,Fashion,2026-01-25,Net Banking,14761,Refund Initiated,N/A,Pending Refund,Delhi
ORD1098,Amit Singh,amit98@gmail.com,Kurti Set,Fashion,2026-01-17,Debit Card,11805,Refund Initiated,N/A,Not Requested,Hyderabad
ORD1099,Rahul Sharma,rahul99@gmail.com,Running Shoes,Fashion,2026-02-04,COD,7248,Delivered,2026-02-06,Pending Refund,Kolkata
ORD1100,Amit Singh,amit100@gmail.com,Laptop Backpack,Accessories,2026-02-12,UPI,14081,Cancelled,N/A,Not Applicable,Hyderabad
ORD1101,Rahul Sharma,rahul101@gmail.com,Wireless Earbuds,Electronics,2026-02-06,Debit Card,6440,Cancelled,N/A,Not Applicable,Pune
ORD1102,Arjun Mehta,arjun102@gmail.com,Kurti Set,Fashion,2026-01-30,Net Banking,2004,Delivered,2026-02-07,Pending Refund,Bangalore
ORD1103,Amit Singh,amit103@gmail.com,Smart Watch,Electronics,2026-01-07,UPI,11645,Processing,2026-01-09,Pending Refund,Jaipur
ORD1104,Simran Kaur,simran104@gmail.com,Gaming Mouse,Electronics,2026-01-21,Credit Card,1107,Processing,2026-01-23,Not Requested,Hyderabad
ORD1105,Karan Patel,karan105@gmail.com,Gaming Mouse,Electronics,2026-02-10,Debit Card,3478,Processing,2026-02-15,Not Applicable,Chandigarh
ORD1106,Neha Gupta,neha106@gmail.com,Smart Watch,Electronics,2026-01-29,Credit Card,5378,Cancelled,N/A,Not Applicable,Pune
ORD1107,Priya Verma,priya107@gmail.com,Bluetooth Speaker,Electronics,2026-01-16,UPI,13994,Delivered,2026-01-23,Completed,Chandigarh
ORD1108,Priya Verma,priya108@gmail.com,Bluetooth Speaker,Electronics,2026-02-12,Debit Card,676,Delivered,2026-02-18,Not Applicable,Hyderabad
ORD1109,Amit Singh,amit109@gmail.com,Laptop Backpack,Accessories,2026-01-03,Net Banking,13508,Shipped,2026-01-12,None,Mumbai
ORD1110,Rahul Sharma,rahul110@gmail.com,Laptop Backpack,Accessories,2026-01-05,Debit Card,19002,Processing,2026-01-12,Not Requested,Kolkata
ORD1111,Rahul Sharma,rahul111@gmail.com,Kurti Set,Fashion,2026-01-18,Net Banking,5833,Processing,2026-01-23,Pending Refund,Jaipur
ORD1112,Rahul Sharma,rahul112@gmail.com,Wireless Earbuds,Electronics,2026-01-31,Net Banking,18041,Refund Initiated,N/A,Pending Refund,Kolkata
ORD1113,Rahul Sharma,rahul113@gmail.com,Smart Watch,Electronics,2026-01-24,Credit Card,8698,Cancelled,N/A,Not Applicable,Hyderabad
ORD1114,Rahul Sharma,rahul114@gmail.com,Laptop Backpack,Accessories,2026-02-03,Credit Card,13479,Shipped,2026-02-13,Pending Refund,Jaipur
ORD1115,Priya Verma,priya115@gmail.com,Laptop Backpack,Accessories,2026-01-08,Credit Card,10290,Delivered,2026-01-17,None,Bangalore
ORD1116,Rahul Sharma,rahul116@gmail.com,Gaming Mouse,Electronics,2026-02-13,Debit Card,4435,Delivered,2026-02-23,Pending Refund,Kolkata
ORD1117,Karan Patel,karan117@gmail.com,Gaming Mouse,Electronics,2026-02-12,UPI,13468,Delivered,2026-02-19,None,Chandigarh
ORD1118,Simran Kaur,simran118@gmail.com,Kurti Set,Fashion,2026-02-07,UPI,15234,Refund Initiated,N/A,Completed,Hyderabad
ORD1119,Karan Patel,karan119@gmail.com,Running Shoes,Fashion,2026-01-16,Net Banking,2651,Shipped,2026-01-26,None,Hyderabad
ORD1120,Neha Gupta,neha120@gmail.com,Running Shoes,Fashion,2026-02-04,COD,14388,Cancelled,N/A,Not Applicable,Chandigarh
ORD1121,Sneha Kapoor,sneha121@gmail.com,Gaming Mouse,Electronics,2026-01-06,Net Banking,13147,Processing,2026-01-13,Pending Refund,Mumbai
ORD1122,Rahul Sharma,rahul122@gmail.com,Laptop Backpack,Accessories,2026-02-09,COD,14851,Processing,2026-02-12,None,Kolkata
ORD1123,Karan Patel,karan123@gmail.com,Gaming Mouse,Electronics,2026-01-14,COD,6607,Shipped,2026-01-19,Not Applicable,Jaipur
ORD1124,Amit Singh,amit124@gmail.com,Bluetooth Speaker,Electronics,2026-01-13,Net Banking,5943,Refund Initiated,N/A,None,Pune
ORD1125,Rahul Sharma,rahul125@gmail.com,Kurti Set,Fashion,2026-01-07,Net Banking,16987,Cancelled,N/A,Completed,Hyderabad
ORD1126,Simran Kaur,simran126@gmail.com,Laptop Backpack,Accessories,2026-02-08,COD,16979,Refund Initiated,N/A,Not Applicable,Jaipur
ORD1127,Simran Kaur,simran127@gmail.com,Wireless Earbuds,Electronics,2026-01-19,Debit Card,6317,Shipped,2026-01-25,Not Requested,Hyderabad
ORD1128,Rahul Sharma,rahul128@gmail.com,Mobile Phone,Electronics,2026-01-30,UPI,12569,Cancelled,N/A,None,Bangalore
ORD1129,Karan Patel,karan129@gmail.com,Smart Watch,Electronics,2026-02-15,Debit Card,2367,Shipped,2026-02-19,Not Applicable,Jaipur
ORD1130,Sneha Kapoor,sneha130@gmail.com,Smart Watch,Electronics,2026-02-11,UPI,18752,Shipped,2026-02-16,Pending Refund,Kolkata
ORD1131,Amit Singh,amit131@gmail.com,Gaming Mouse,Electronics,2026-01-30,Net Banking,9681,Refund Initiated,N/A,Not Requested,Pune
ORD1132,Amit Singh,amit132@gmail.com,Kurti Set,Fashion,2026-01-21,COD,5314,Delivered,2026-01-27,Pending Refund,Hyderabad
ORD1133,Rahul Sharma,rahul133@gmail.com,Gaming Mouse,Electronics,2026-01-24,Debit Card,2998,Shipped,2026-01-31,Completed,Bangalore
ORD1134,Sneha Kapoor,sneha134@gmail.com,Smart Watch,Electronics,2026-01-20,Net Banking,4091,Delivered,2026-01-23,None,Bangalore
ORD1135,Karan Patel,karan135@gmail.com,Smart Watch,Electronics,2026-01-26,Net Banking,6226,Delivered,2026-01-29,Not Requested,Mumbai
ORD1136,Karan Patel,karan136@gmail.com,Bluetooth Speaker,Electronics,2026-02-13,Credit Card,19423,Shipped,2026-02-15,Completed,Bangalore
ORD1137,Amit Singh,amit137@gmail.com,Running Shoes,Fashion,2026-01-11,UPI,6495,Processing,2026-01-18,Not Applicable,Bangalore
ORD1138,Rahul Sharma,rahul138@gmail.com,Kurti Set,Fashion,2026-01-27,UPI,13146,Shipped,2026-02-01,Not Requested,Jaipur
ORD1139,Simran Kaur,simran139@gmail.com,Mobile Phone,Electronics,2026-01-16,Net Banking,13978,Cancelled,N/A,Completed,Pune
ORD1140,Amit Singh,amit140@gmail.com,Running Shoes,Fashion,2026-01-06,Debit Card,14119,Shipped,2026-01-11,Pending Refund,Bangalore
ORD1141,Amit Singh,amit141@gmail.com,Running Shoes,Fashion,2026-02-07,Credit Card,5269,Delivered,2026-02-16,Not Requested,Kolkata
ORD1142,Rahul Sharma,rahul142@gmail.com,Running Shoes,Fashion,2026-01-30,Debit Card,2162,Delivered,2026-02-06,Completed,Kolkata
ORD1143,Karan Patel,karan143@gmail.com,Kurti Set,Fashion,2026-02-01,Net Banking,9875,Cancelled,N/A,Not Applicable,Chandigarh
ORD1144,Rahul Sharma,rahul144@gmail.com,Running Shoes,Fashion,2026-02-02,UPI,2255,Processing,2026-02-10,Not Applicable,Bangalore
ORD1145,Rahul Sharma,rahul145@gmail.com,Wireless Earbuds,Electronics,2026-01-08,Net Banking,5292,Cancelled,N/A,None,Delhi
ORD1146,Arjun Mehta,arjun146@gmail.com,Running Shoes,Fashion,2026-01-03,Credit Card,14306,Delivered,2026-01-09,Completed,Kolkata
ORD1147,Simran Kaur,simran147@gmail.com,Kurti Set,Fashion,2026-01-05,Credit Card,1053,Refund Initiated,N/A,Not Applicable,Chandigarh
ORD1148,Sneha Kapoor,sneha148@gmail.com,Laptop Backpack,Accessories,2026-01-04,Credit Card,10621,Cancelled,N/A,Not Requested,Kolkata
ORD1149,Neha Gupta,neha149@gmail.com,Smart Watch,Electronics,2026-01-07,Credit Card,1791,Refund Initiated,N/A,Completed,Pune
ORD1150,Simran Kaur,simran150@gmail.com,Running Shoes,Fashion,2026-01-14,Credit Card,6477,Shipped,2026-01-20,None,Mumbai
ORD1151,Arjun Mehta,arjun151@gmail.com,Laptop Backpack,Accessories,2026-01-11,COD,4644,Cancelled,N/A,Not Requested,Bangalore
ORD1152,Amit Singh,amit152@gmail.com,Laptop Backpack,Accessories,2026-01-26,COD,1873,Delivered,2026-01-28,Completed,Mumbai
ORD1153,Amit Singh,amit153@gmail.com,Gaming Mouse,Electronics,2026-01-30,Credit Card,5441,Shipped,2026-02-07,Not Requested,Bangalore
ORD1154,Arjun Mehta,arjun154@gmail.com,Smart Watch,Electronics,2026-01-30,UPI,10193,Refund Initiated,N/A,Completed,Kolkata
ORD1155,Amit Singh,amit155@gmail.com,Smart Watch,Electronics,2026-01-24,Net Banking,3968,Cancelled,N/A,Not Applicable,Kolkata
ORD1156,Priya Verma,priya156@gmail.com,Wireless Earbuds,Electronics,2026-02-01,UPI,15573,Shipped,2026-02-03,None,Jaipur
ORD1157,Arjun Mehta,arjun157@gmail.com,Gaming Mouse,Electronics,2026-01-10,COD,18963,Processing,2026-01-14,Pending Refund,Pune
ORD1158,Sneha Kapoor,sneha158@gmail.com,Running Shoes,Fashion,2026-01-14,Debit Card,12393,Processing,2026-01-17,Not Requested,Jaipur
ORD1159,Sneha Kapoor,sneha159@gmail.com,Gaming Mouse,Electronics,2026-01-28,COD,13121,Refund Initiated,N/A,Completed,Hyderabad
ORD1160,Simran Kaur,simran160@gmail.com,Smart Watch,Electronics,2026-01-04,Debit Card,6013,Refund Initiated,N/A,Pending Refund,Hyderabad
ORD1161,Neha Gupta,neha161@gmail.com,Kurti Set,Fashion,2026-02-12,COD,5652,Delivered,2026-02-14,None,Bangalore
ORD1162,Priya Verma,priya162@gmail.com,Bluetooth Speaker,Electronics,2026-01-19,COD,4884,Refund Initiated,N/A,Not Requested,Mumbai
ORD1163,Arjun Mehta,arjun163@gmail.com,Running Shoes,Fashion,2026-02-06,Net Banking,3294,Shipped,2026-02-09,Not Applicable,Kolkata
ORD1164,Sneha Kapoor,sneha164@gmail.com,Bluetooth Speaker,Electronics,2026-02-13,UPI,19049,Cancelled,N/A,Pending Refund,Hyderabad
ORD1165,Arjun Mehta,arjun165@gmail.com,Mobile Phone,Electronics,2026-02-11,COD,10444,Delivered,2026-02-19,Completed,Pune
ORD1166,Neha Gupta,neha166@gmail.com,Running Shoes,Fashion,2026-01-05,Credit Card,2601,Refund Initiated,N/A,Not Requested,Hyderabad
ORD1167,Simran Kaur,simran167@gmail.com,Gaming Mouse,Electronics,2026-01-12,UPI,17238,Delivered,2026-01-19,Not Applicable,Chandigarh
ORD1168,Neha Gupta,neha168@gmail.com,Running Shoes,Fashion,2026-01-30,UPI,7188,Delivered,2026-02-08,Completed,Hyderabad
ORD1169,Amit Singh,amit169@gmail.com,Kurti Set,Fashion,2026-01-18,Credit Card,8200,Processing,2026-01-22,Not Applicable,Hyderabad
ORD1170,Simran Kaur,simran170@gmail.com,Running Shoes,Fashion,2026-02-02,Debit Card,2659,Refund Initiated,N/A,None,Hyderabad
ORD1171,Karan Patel,karan171@gmail.com,Wireless Earbuds,Electronics,2026-02-01,Debit Card,10107,Delivered,2026-02-05,None,Delhi
ORD1172,Karan Patel,karan172@gmail.com,Smart Watch,Electronics,2026-02-01,Net Banking,15144,Cancelled,N/A,None,Kolkata
ORD1173,Arjun Mehta,arjun173@gmail.com,Kurti Set,Fashion,2026-01-22,COD,2039,Delivered,2026-01-31,Pending Refund,Mumbai
ORD1174,Rahul Sharma,rahul174@gmail.com,Smart Watch,Electronics,2026-02-12,Net Banking,13710,Shipped,2026-02-17,Not Requested,Delhi
ORD1175,Arjun Mehta,arjun175@gmail.com,Mobile Phone,Electronics,2026-01-18,Net Banking,10086,Delivered,2026-01-27,Not Requested,Mumbai
ORD1176,Amit Singh,amit176@gmail.com,Gaming Mouse,Electronics,2026-01-31,Debit Card,17974,Processing,2026-02-09,Pending Refund,Chandigarh
ORD1177,Sneha Kapoor,sneha177@gmail.com,Bluetooth Speaker,Electronics,2026-01-04,COD,19747,Delivered,2026-01-09,Not Applicable,Chandigarh
ORD1178,Rahul Sharma,rahul178@gmail.com,Gaming Mouse,Electronics,2026-02-05,Credit Card,11585,Processing,2026-02-08,None,Bangalore
ORD1179,Arjun Mehta,arjun179@gmail.com,Laptop Backpack,Accessories,2026-02-04,Net Banking,14029,Cancelled,N/A,Not Applicable,Delhi
ORD1180,Arjun Mehta,arjun180@gmail.com,Laptop Backpack,Accessories,2026-01-29,UPI,14552,Processing,2026-02-06,Completed,Hyderabad
ORD1181,Rahul Sharma,rahul181@gmail.com,Gaming Mouse,Electronics,2026-02-12,UPI,4165,Cancelled,N/A,Completed,Delhi
ORD1182,Simran Kaur,simran182@gmail.com,Laptop Backpack,Accessories,2026-01-09,Net Banking,14189,Refund Initiated,N/A,Pending Refund,Chandigarh
ORD1183,Priya Verma,priya183@gmail.com,Laptop Backpack,Accessories,2026-01-06,Net Banking,958,Refund Initiated,N/A,Not Requested,Mumbai
